LineId,A,B,C,D,E,F,Content,EventId,EventTemplate,ParameterList
23,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean,Mapping filter: 'vzsdefzvvsdz''applicationContextIdFilter' to: [/*],4980be9d,Mapping <*> <*> to <*>,"[""filter: 'vzsdefzvvsdz''applicationContextIdFilter'"", '']"
24,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean,Mapping servlet: 'vsvdvxasaasaxssaxasxxxxxxxxxxxxxxxxxxxxxxxxdsvdsdsvass' to [/metrics],4980be9d,Mapping <*> <*> to <*>,"[""servlet: 'vsvdvxasaasaxssaxasxxxxxxxxxxxxxxxxxxxxxxxxdsvdsdsvass'"", 'metrics']"
25,2019-11-01,07:02:09.388,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean,Mapping servlet: 'aewrerwarewewrrew' to [/],4980be9d,Mapping <*> <*> to <*>,"[""servlet: 'aewrerwarewewrrew'"", '']"
26,2019-11-01,07:02:35.357,INFO,"[carts,,,]",6,--- [           main] org.mongodb.driver.cluster,"Cluster created with settings {hosts=[carts-db:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='10000 ms', maxWaitQueueSize=500}",7daceb99,Cluster created with settings {hosts [carts-db 27017] mode SINGLE requiredClusterType UNKNOWN serverSelectionTimeout '10000 ms' maxWaitQueueSize 500},[]
27,2019-11-01,07:02:52.684,INFO,"[carts,,,]",6,--- [           main] o.s.b.f.config.PropertiesFactoryBean,Loading properties file from class path resource [rest-default-messages.properties],7857a57f,Loading properties file from class path resource [rest-default-messages.properties],[]
28,2019-11-01,07:02:59.956,INFO,"[carts,,,]",6,--- [-carts-db:27017] org.mongodb.driver.cluster,Exception in monitor thread while connecting to server carts-db:27017,8b717f7e,Exception in monitor thread while connecting to server carts-db 27017,[]
29,2019-11-01,07:03:01.577,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}/merge],methods=[GET]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",96520469,Mapped <*> <*> <*> afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,"['', '""{[/carts/{customerId}/merge],methods=[GET']"
30,2019-11-01,07:03:01.578,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}],methods=[GET],produces=[application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhbtstbrbrtbbtsrntntrrtnrtnntrszlsufaw21534qrg4t",c3f127d2,"Mapped ""{[/carts/{customerId}] methods [GET] produces [application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhbtstbrbrtbbtsrntntrrtnrtnntrszlsufaw21534qrg4t",[]
31,2019-11-01,07:03:01.579,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}],methods=[DELETE]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",96520469,Mapped <*> <*> <*> afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,"['', '""{[/carts/{customerId}],methods=[DELETE']"
32,2019-11-01,07:03:01.582,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[PATCH],consumes=[application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvntrtrnntrstnrrtntrtnhzlsufaw21534qrg4t",afa398df,"Mapped ""{[/carts/{customerId .*}/items] methods <*> <*> [application/json]}"" <*>","['PATCH],consumes', 'afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvntrtrnntrstnrrtntrtnhzlsufaw21534qrg4t']"
33,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[POST],consumes=[application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",afa398df,"Mapped ""{[/carts/{customerId .*}/items] methods <*> <*> [application/json]}"" <*>","['POST],consumes', 'afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t']"
34,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[GET],produces=[application/json]}"" afdlhlfudzkhsbrbtbtldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",afa398df,"Mapped ""{[/carts/{customerId .*}/items] methods <*> <*> [application/json]}"" <*>","['GET],produces', 'afdlhlfudzkhsbrbtbtldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t']"
35,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items/{itemId:.*}],methods=[DELETE]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw215nrttrngbf34gq3qg3warfevfsdb34qrg4t",e9b28ba2,"Mapped ""{[/carts/{customerId .*}/items/{itemId .*}] methods [DELETE]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw215nrttrngbf34gq3qg3warfevfsdb34qrg4t",[]
36,2019-11-01,07:03:01.584,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items/{itemId:.*}],methods=[GET],produces=[application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",ee8dfd52,"Mapped ""{[/carts/{customerId .*}/items/{itemId .*}] methods [GET] produces [application/json]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",[]
37,2019-11-01,07:03:01.585,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/health],methods=[GET]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",96520469,Mapped <*> <*> <*> afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,"['', '""{[/health],methods=[GET']"
38,2019-11-01,07:03:01.588,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/error],produces=[text/html]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",96520469,Mapped <*> <*> <*> afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,"['', '""{[/error],produces=[text/html']"
39,2019-11-01,07:03:01.588,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/error]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",30ee2705,"Mapped ""{[/error]}"" afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t",[]
40,2019-11-01,07:03:02.471,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerAdapter,Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0: startup date [Fri Nov 01 07:00:57 GMT 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,0b490ca4,Looking for @ControllerAdvice org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0 startup date [Fri Nov 01 07 00 57 GMT 2019]; parent org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,[]
41,2019-11-01,07:03:02.486,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerAdapter,Detected afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4tfffffffffesrwawergvabfaserbeabrbeerbeebaebffbrewrqwreqrqr,8ed405d0,Detected afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4tfffffffffesrwawergvabfaserbeabrbeerbeebaebffbrewrqwreqrqr,[]
42,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
43,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
44,2019-11-01,07:03:02.894,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
45,2019-11-01,07:03:02.895,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
46,2019-11-01,07:03:02.895,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
47,2019-11-01,07:03:02.970,INFO,"[carts,,,]",6,--- [           main] .m.m.a.ExceptionHandlerExceptionResolver,Detected afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t in afdlhlfudzkhldafdaffesefaakvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,e13e368f,Detected <*> in <*>,"['afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t', 'afdlhlfudzkhldafdaffesefaakvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t']"
48,2019-11-01,07:03:02.971,INFO,"[carts,,,]",6,--- [           main] .m.m.a.ExceptionHandlerExceptionResolver,Detected afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzfeesfesfasefelsufaw21534qrg4t in afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t,e13e368f,Detected <*> in <*>,"['afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzfeesfesfasefelsufaw21534qrg4t', 'afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t']"
49,2019-11-01,07:03:03.049,INFO,"[carts,,,]",6,--- [           main] o.s.w.s.handler.SimpleUrlHandlerMapping,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],132a0418,Mapped URL path afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler],[]
50,2019-11-01,07:03:08.047,INFO,"[carts,,,]",6,--- [           main] o.s.d.r.w.RepositoryRestHandlerAdapter,Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0: startup date [Fri Nov 01 07:00:57 GMT 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,0b490ca4,Looking for @ControllerAdvice org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1b40d5f0 startup date [Fri Nov 01 07 00 57 GMT 2019]; parent org.springframework.context.annotation.AnnotationConfigApplicationContext@51521cc1,[]
51,2019-11-01,07:03:08.051,INFO,"[carts,,,]",6,--- [           main] o.s.d.r.w.RepositoryRestHandlerAdapter,Detected afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t in org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$ActuatorEndpointLinksAdvice,e13e368f,Detected <*> in <*>,"['afdlhlfudzkhldkvhdszvklvhkjczvsdhlkxdhuvdzvhzlsufaw21534qrg4t', 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcHypermediaManagementContextConfiguration$ActuatorEndpointLinksAdvice']"
52,2019-11-01,07:03:08.067,INFO,"[carts,,,]",6,--- [           main] o.s.d.r.w.RepositoryRestHandlerMapping,"Mapped ""{[/ || ],methods=[OPTIONS],produces=[application/hal+json || application/json || application/*+json;charset=UTF-8]}"" onto public org.springframework.http.HttpEntity<?> org.springframework.data.rest.webmvc.RepositoryController.optionsForRepositories()",5b2ac5b8,"Mapped ""{[/ || ] methods <*> produces [application/hal+json || application/json || application/*+json;charset UTF-8]}"" onto public <*> <*>","['OPTIONS', '', 'org.springframework.http.HttpEntity<?> org.springframework.data.rest.webmvc.RepositoryController.optionsForRepositories']"
