LineId,A,B,C,D,E,F,Content,EventId,EventTemplate,ParameterList
20,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean,Mapping filter: 'httpPutFormContentFilter' to: [/*],4980be9d,Mapping <*> <*> to <*>,"[""filter: 'httpPutFormContentFilter'"", '']"
21,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean,Mapping filter: 'requestContextFilter' to: [/*],4980be9d,Mapping <*> <*> to <*>,"[""filter: 'requestContextFilter'"", '']"
22,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean,Mapping filter: 'webRequestLoggingFilter' to: [/*],4980be9d,Mapping <*> <*> to <*>,"[""filter: 'webRequestLoggingFilter'"", '']"
23,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean,Mapping filter: 'applicationContextIdFilter' to: [/*],4980be9d,Mapping <*> <*> to <*>,"[""filter: 'applicationContextIdFilter'"", '']"
24,2019-11-01,07:02:09.386,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean,Mapping servlet: 'metricsServlet' to [/metrics],4980be9d,Mapping <*> <*> to <*>,"[""servlet: 'metricsServlet'"", 'metrics']"
25,2019-11-01,07:02:09.388,INFO,"[carts,,,]",6,--- [ost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean,Mapping servlet: 'dispatcherServlet' to [/],4980be9d,Mapping <*> <*> to <*>,"[""servlet: 'dispatcherServlet'"", '']"
26,2019-11-01,07:02:35.357,INFO,"[carts,,,]",6,--- [           main] org.mongodb.driver.cluster,"Cluster created with settings {hosts=[carts-db:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='10000 ms', maxWaitQueueSize=500}",7daceb99,Cluster created with settings {hosts [carts-db 27017] mode SINGLE requiredClusterType UNKNOWN serverSelectionTimeout '10000 ms' maxWaitQueueSize 500},[]
27,2019-11-01,07:02:52.684,INFO,"[carts,,,]",6,--- [           main] o.s.b.f.config.PropertiesFactoryBean,Loading properties file from class path resource [rest-default-messages.properties],7857a57f,Loading properties file from class path resource [rest-default-messages.properties],[]
28,2019-11-01,07:02:59.956,INFO,"[carts,,,]",6,--- [-carts-db:27017] org.mongodb.driver.cluster,Exception in monitor thread while connecting to server carts-db:27017,8b717f7e,Exception in monitor thread while connecting to server carts-db 27017,[]
29,2019-11-01,07:03:01.577,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}/merge],methods=[GET]}"" onto public void works.weave.socks.cart.controllers.CartsController.mergeCarts(java.lang.String,java.lang.String)",3bdf14ba,Mapped <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '""{[/carts/{customerId}/merge],methods=[GET]}"" onto public void works.weave.socks.cart.controllers.CartsController.mergeCarts(java.lang.String,java.lang.String']"
30,2019-11-01,07:03:01.578,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}],methods=[GET],produces=[application/json]}"" onto public works.weave.socks.cart.entities.Cart works.weave.socks.cart.controllers.CartsController.get(java.lang.String)",14e09112,Mapped <*> <*> <*> <*> <*> onto public <*> <*>,"['', '', '""{[/carts/{customerId}],methods=[GET],produces=[application/json]}""', '', 'works.weave.socks.cart.entities.Cart works.weave.socks.cart.controllers.CartsController.get(java.lang.String']"
31,2019-11-01,07:03:01.579,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId}],methods=[DELETE]}"" onto public void works.weave.socks.cart.controllers.CartsController.delete(java.lang.String)",f8323cb0,Mapped <*> methods <*> onto public <*> <*>,"['""{[/carts/{customerId', 'DELETE]}""', '', 'void works.weave.socks.cart.controllers.CartsController.delete(java.lang.String']"
32,2019-11-01,07:03:01.582,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[PATCH],consumes=[application/json]}"" onto public void works.weave.socks.cart.controllers.ItemsController.updateItem(java.lang.String,works.weave.socks.cart.entities.Item)",902a5cf8,Mapped <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '', '', '""{[/carts/{customerId:.*}/items],methods=[PATCH],consumes=[application/json]}"" onto public void works.weave.socks.cart.controllers.ItemsController.updateItem(java.lang.String,works.weave.socks.cart.entities.Item']"
33,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[POST],consumes=[application/json]}"" onto public works.weave.socks.cart.entities.Item works.weave.socks.cart.controllers.ItemsController.addToCart(java.lang.String,works.weave.socks.cart.entities.Item)",902a5cf8,Mapped <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '', '', '""{[/carts/{customerId:.*}/items],methods=[POST],consumes=[application/json]}"" onto public works.weave.socks.cart.entities.Item works.weave.socks.cart.controllers.ItemsController.addToCart(java.lang.String,works.weave.socks.cart.entities.Item']"
34,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items],methods=[GET],produces=[application/json]}"" onto public java.util.List<works.weave.socks.cart.entities.Item> works.weave.socks.cart.controllers.ItemsController.getItems(java.lang.String)",b168f654,Mapped <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '', 'carts/{customerId:.*}/items],methods=[GET],produces=[application/json]}"" onto public java.util.List<works.weave.socks.cart.entities.Item> works.weave.socks.cart.controllers.ItemsController.getItems(java.lang.String']"
35,2019-11-01,07:03:01.583,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items/{itemId:.*}],methods=[DELETE]}"" onto public void works.weave.socks.cart.controllers.ItemsController.removeItem(java.lang.String,java.lang.String)",b168f654,Mapped <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '', '', '', '', '', 'carts/{customerId:.*}/items/{itemId:.*}],methods=[DELETE]}"" onto public void works.weave.socks.cart.controllers.ItemsController.removeItem(java.lang.String,java.lang.String']"
36,2019-11-01,07:03:01.584,INFO,"[carts,,,]",6,--- [           main] s.w.s.m.m.a.RequestMappingHandlerMapping,"Mapped ""{[/carts/{customerId:.*}/items/{itemId:.*}],methods=[GET],produces=[application/json]}"" onto public works.weave.socks.cart.entities.Item works.weave.socks.cart.controllers.ItemsController.get(java.lang.String,java.lang.String)",7a5d390e,"Mapped ""{[/carts/{customerId .*}/items/{itemId .*}] methods [GET] produces [application/json]}"" onto public works.weave.socks.cart.entities.Item works.weave.socks.cart.controllers.ItemsController.get(java.lang.String java.lang.String)",[]
